source,slug,company,verdict,job_count,reported_name,probed_at
ashby,airwallex,Airwallex,confirmed,579,,2026-09-14
ashby,aledade,Aledade,notfound,,,2026-09-14
ashby,allbirds,Allbirds,notfound,,,2026-09-14
ashby,anduril,Anduril,notfound,,,2026-09-14
ashby,angellist,AngelList,notfound,,,2026-09-14
ashby,angi,Angi,confirmed,50,,2026-09-14
ashby,apollo,Apollo,notfound,,,2026-09-14
ashby,applied,Applied,confirmed,289,,2026-09-14
ashby,booksy,Booksy,notfound,,,2026-09-14
ashby,braintree,Braintree,notfound,,,2026-09-14
ashby,bumble,Bumble,empty,,,2026-09-14
ashby,cedar,Cedar,confirmed,3,,2026-09-14
ashby,census,Census,notfound,,,2026-09-14
ashby,chainalysis,Chainalysis,notfound,,,2026-09-14
ashby,chewy,Chewy,notfound,,,2026-09-14
ashby,circle,Circle,confirmed,10,,2026-09-14
ashby,clari,Clari,notfound,,,2026-09-14
ashby,clay,Clay,notfound,,,2026-09-14
ashby,clio,Clio,notfound,,,2026-09-14
ashby,codecademy,Codecademy,notfound,,,2026-09-14
ashby,cohere,Cohere,confirmed,144,,2026-09-14
ashby,color,Color,notfound,,,2026-09-14
ashby,compass,Compass,notfound,,,2026-09-14
ashby,confluent,Confluent,confirmed,21,,2026-09-14
ashby,convoy,Convoy,notfound,,,2026-09-14
ashby,dave,Dave,confirmed,4,,2026-09-14
ashby,devoted,Devoted,notfound,,,2026-09-14
ashby,doordash,DoorDash,notfound,,,2026-09-14
ashby,elevenlabs,ElevenLabs,confirmed,246,,2026-09-14
ashby,empower,Empower,notfound,,,2026-09-14
ashby,etsy,Etsy,notfound,,,2026-09-14
ashby,flatiron,Flatiron,notfound,,,2026-09-14
ashby,fresha,Fresha,notfound,,,2026-09-14
ashby,glean,Glean,notfound,,,2026-09-14
ashby,gong,Gong,notfound,,,2026-09-14
ashby,grafana,Grafana,notfound,,,2026-09-14
ashby,guardant,Guardant,notfound,,,2026-09-14
ashby,harvey,Harvey,confirmed,320,,2026-09-14
ashby,hashicorp,HashiCorp,notfound,,,2026-09-14
ashby,headspace,Headspace,notfound,,,2026-09-14
ashby,included,Included,notfound,,,2026-09-14
ashby,invitae,Invitae,notfound,,,2026-09-14
ashby,ironclad,Ironclad,notfound,,,2026-09-14
ashby,jasper,Jasper,notfound,,,2026-09-14
ashby,khan,Khan,notfound,,,2026-09-14
ashby,komodo,Komodo,notfound,,,2026-09-14
ashby,kraken,Kraken,empty,,,2026-09-14
ashby,legalzoom,LegalZoom,notfound,,,2026-09-14
ashby,loom,Loom,empty,,,2026-09-14
ashby,lucid,Lucid,notfound,,,2026-09-14
ashby,marqeta,Marqeta,notfound,,,2026-09-14
ashby,miro,Miro,confirmed,39,,2026-09-14
ashby,navan,Navan,notfound,,,2026-09-14
ashby,noom,Noom,notfound,,,2026-09-14
ashby,nubank,Nubank,confirmed,120,,2026-09-14
ashby,opendoor,Opendoor,notfound,,,2026-09-14
ashby,outreach,Outreach,notfound,,,2026-09-14
ashby,palantir,Palantir,notfound,,,2026-09-14
ashby,pave,Pave,empty,,,2026-09-14
ashby,perplexity,Perplexity,confirmed,117,,2026-09-14
ashby,pluralsight,Pluralsight,notfound,,,2026-09-14
ashby,primer,Primer,confirmed,26,,2026-09-14
ashby,procore,Procore,notfound,,,2026-09-14
ashby,recursion,Recursion,notfound,,,2026-09-14
ashby,redfin,Redfin,notfound,,,2026-09-14
ashby,remitly,Remitly,notfound,,,2026-09-14
ashby,render,Render,confirmed,36,,2026-09-14
ashby,retool,Retool,notfound,,,2026-09-14
ashby,rippling,Rippling,notfound,,,2026-09-14
ashby,rivian,Rivian,notfound,,,2026-09-14
ashby,runway,Runway,confirmed,4,,2026-09-14
ashby,scale,Scale,notfound,,,2026-09-14
ashby,segment,Segment,notfound,,,2026-09-14
ashby,sentry,Sentry,confirmed,44,,2026-09-14
ashby,shield,Shield,notfound,,,2026-09-14
ashby,shopify,Shopify,notfound,,,2026-09-14
ashby,sierra,Sierra,confirmed,209,,2026-09-14
ashby,sigma,Sigma,notfound,,,2026-09-14
ashby,snowflake,Snowflake,confirmed,362,,2026-09-14
ashby,strava,Strava,confirmed,27,,2026-09-14
ashby,synthesia,Synthesia,confirmed,56,,2026-09-14
ashby,tempus,Tempus,notfound,,,2026-09-14
ashby,uber,Uber,notfound,,,2026-09-14
ashby,vannevar,Vannevar,notfound,,,2026-09-14
ashby,varo,Varo,notfound,,,2026-09-14
ashby,verily,Verily,notfound,,,2026-09-14
ashby,warby,Warby,notfound,,,2026-09-14
ashby,whoop,Whoop,confirmed,155,,2026-09-14
ashby,writer,Writer,confirmed,49,,2026-09-14
ashby,yelp,Yelp,notfound,,,2026-09-14
ashby,zapier,Zapier,confirmed,6,,2026-09-14
ashby,zoox,Zoox,notfound,,,2026-09-14
greenhouse,airbnb,Airbnb,confirmed,164,Airbnb,2026-09-14
greenhouse,airwallex,Airwallex,notfound,,,2026-09-14
greenhouse,aledade,Aledade,notfound,,,2026-09-14
greenhouse,allbirds,Allbirds,notfound,,,2026-09-14
greenhouse,amplitude,Amplitude,confirmed,35,Amplitude ,2026-09-14
greenhouse,anduril,Anduril,notfound,,,2026-09-14
greenhouse,angellist,AngelList,notfound,,,2026-09-14
greenhouse,angi,Angi,notfound,,,2026-09-14
greenhouse,apollo,Apollo,empty,,,2026-09-14
greenhouse,applied,Applied,notfound,,,2026-09-14
greenhouse,attentive,Attentive,confirmed,37,Attentive,2026-09-14
greenhouse,betterment,Betterment,confirmed,26,Betterment,2026-09-14
greenhouse,block,Block,confirmed,208,Block,2026-09-14
greenhouse,booksy,Booksy,notfound,,,2026-09-14
greenhouse,braintree,Braintree,notfound,,,2026-09-14
